,line_id,direction,lon,lat,sequence
63,25,1,-0.002478,51.540828,63
64,25,1,-0.00256,51.54127,64
65,25,1,-0.002484,51.54134,65
66,25,1,-0.002166,51.541362,66
67,25,1,-0.001867,51.540628,67
68,25,1,-0.00196,51.540477,68
69,25,1,-0.001646,51.5404,69
70,25,1,-0.001299,51.540412,70
71,25,1,-0.000681,51.539718,71
72,25,1,-0.000194,51.539629,72
73,25,1,0.000641,51.54028,73
74,25,1,0.003296,51.541628,74
75,25,1,0.004162,51.541964,75
76,25,1,0.006441,51.542312,76
77,25,1,0.008207,51.542471,77
78,25,1,0.019592,51.545548,78
79,25,1,0.021341,51.545941,79
80,25,1,0.025159,51.546513,80
81,25,1,0.030917,51.546917,81
82,25,1,0.03585,51.547569,82
83,25,1,0.039354,51.548192,83
84,25,1,0.042692,51.54897,84
85,25,1,0.045764,51.549951,85
86,25,1,0.048867,51.551254,86
87,25,1,0.05204,51.552224,87
88,25,1,0.057377,51.554127,88
89,25,1,0.059361,51.554623,89
90,25,1,0.061309,51.555263,90
91,25,1,0.064683,51.556202,91
92,25,1,0.066451,51.556998,92
93,25,1,0.067648,51.557633,93
94,25,1,0.069714,51.558343,94
95,25,1,0.070141,51.558219,95
96,25,1,0.070145,51.557661,96
97,25,1,0.070286,51.557272,97
98,25,1,0.070822,51.556696,98
99,25,1,0.071596,51.556566,99
100,25,1,0.073599,51.55716,100
101,25,1,0.073649,51.557321,101
102,25,1,0.073491,51.557638,102
103,25,1,0.074553,51.558159,103
104,25,1,0.075603,51.558401,104
105,25,1,0.075854,51.558532,105
106,25,1,0.075938,51.558791,106
107,25,1,0.075607,51.559444,107
108,25,1,0.075797,51.559495,108
109,25,1,0.076423,51.55961,109
110,25,1,0.076438,51.559618,110
111,25,2,0.076438,51.559618,0
112,25,2,0.076423,51.55961,1
113,25,2,0.075797,51.559495,2
114,25,2,0.075607,51.559444,3
115,25,2,0.075938,51.558791,4
116,25,2,0.075854,51.558532,5
117,25,2,0.075603,51.558401,6
118,25,2,0.074553,51.558159,7
119,25,2,0.073092,51.557438,8
120,25,2,0.07238,51.557325,9
121,25,2,0.072253,51.557381,10
122,25,2,0.071602,51.558616,11
123,25,2,0.07035,51.558359,12
124,25,2,0.070141,51.558219,13
125,25,2,0.070145,51.557661,14
126,25,2,0.069935,51.557494,15
127,25,2,0.068852,51.557136,16
128,25,2,0.068478,51.557178,17
129,25,2,0.067684,51.55748,18
130,25,2,0.067293,51.557442,19
131,25,2,0.066451,51.556998,20
132,25,2,0.066208,51.556733,21
133,25,2,0.064793,51.556083,22
134,25,2,0.063918,51.555856,23
135,25,2,0.063499,51.555863,24
136,25,2,0.061309,51.555263,25
137,25,2,0.059361,51.554623,26
138,25,2,0.057377,51.554127,27
139,25,2,0.05204,51.552224,28
140,25,2,0.048867,51.551254,29
141,25,2,0.045764,51.549951,30
142,25,2,0.042692,51.54897,31
143,25,2,0.039354,51.548192,32
144,25,2,0.03585,51.547569,33
145,25,2,0.030917,51.546917,34
146,25,2,0.023448,51.5463,35
147,25,2,0.021341,51.545941,36
148,25,2,0.019592,51.545548,37
149,25,2,0.008207,51.542471,38
150,25,2,0.006844,51.542278,39
151,25,2,0.006295,51.54227,40
152,25,2,0.004162,51.541964,41
153,25,2,0.003296,51.541628,42
154,25,2,0.000641,51.54028,43
155,25,2,-0.000194,51.539629,44
156,25,2,-0.000681,51.539718,45
157,25,2,-0.001258,51.540366,46
158,25,2,-0.001937,51.540342,47
159,25,2,-0.002179,51.540409,48
160,25,2,-0.002478,51.540828,49
161,25,2,-0.00256,51.54127,50
