line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
1,2021-01-19 21:18:25.805535,1,0.25756,0,0,8280,8322,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0
44,2021-01-19 21:18:24.075277,1,0.27527,0,0,5661,5657,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0
82,2021-01-19 21:18:24.838040,1,1.08898,0,0,4836,4710,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,1,1.44585,0,0,4837,4728,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,1,0.68812,0,0,4835,4826,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,1,0.76092,0,0,4728,4828,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,1,0.03486,0,0,4826,4818,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0
133,2021-01-19 21:18:25.087340,1,1.47137,0,0,8312,4690,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0
133,2021-01-19 21:18:25.087340,1,1.17033,0,0,4699,4685,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0
133,2021-01-19 21:18:25.087340,1,0.96989,0,0,4685,4693,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,2,1.66773,0,0,4837,4728,4828,0,0,0,0,0,0,193,366,0,0,0,0,0,0
132,2021-01-19 21:18:24.076398,2,1.04603,0,0,4835,4826,4818,0,0,0,0,0,0,732,567,0,0,0,0,0,0
133,2021-01-19 21:18:25.087340,2,1.32935,0,0,4699,4685,4693,0,0,0,0,0,0,258,736,0,0,0,0,0,0
1,2021-01-19 21:19:16.218979,1,0.17948,0,0,8280,8322,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0
44,2021-01-19 21:19:16.178166,1,0.24277,0,0,5661,5657,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0
82,2021-01-19 21:19:15.995642,1,0.97621,0,0,4836,4710,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,1,1.61213,0,0,4837,4728,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,1,0.83856,0,0,4835,4826,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,1,0.82822,0,0,4728,4828,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,1,0.02694,0,0,4826,4818,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,1,0.20906,0,0,4828,8293,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0
133,2021-01-19 21:19:14.731714,1,1.56987,0,0,8312,4690,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0
133,2021-01-19 21:19:14.731714,1,1.00914,0,0,4699,4685,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0
133,2021-01-19 21:19:14.731714,1,0.92959,0,0,4685,4693,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,2,1.87617,0,0,4837,4728,4828,0,0,0,0,0,0,151,349,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,2,1.19401,0,0,4835,4826,4818,0,0,0,0,0,0,770,565,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,2,0.48752,0,0,4728,4828,8293,0,0,0,0,0,0,349,611,0,0,0,0,0,0
133,2021-01-19 21:19:14.731714,2,1.21547,0,0,4699,4685,4693,0,0,0,0,0,0,294,727,0,0,0,0,0,0
132,2021-01-19 21:19:15.950889,3,1.45918,0,0,4837,4728,4828,8293,0,0,0,0,0,151,349,611,0,0,0,0,0
1,2021-01-19 21:20:07.911862,1,0.44811,0,0,8284,5450,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0
1,2021-01-19 21:20:07.911862,1,0.20651,0,0,8280,8322,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0
44,2021-01-19 21:20:06.791706,1,0.02611,0,0,5661,5657,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0
82,2021-01-19 21:20:08.331168,1,0.94347,0,0,4836,4710,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,1,1.79821,1,1,4837,4728,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,1,0.71187,0,0,4835,4826,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,1,0.72529,0,0,4728,4828,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,1,0.17343,0,0,4826,4818,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,1,0.17739,0,0,4828,8293,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0
133,2021-01-19 21:20:08.287750,1,1.47584,0,0,8312,4690,0,0,0,0,0,0,0,849,0,0,0,0,0,0,0
